Archetype,Weapon,Energy,Perk,Effect,RoF,Crit_dmg,Body_dmg,Crit_mult,"Optimal
 TtK(s)",Opt_Shots,Crit_Percent,Opt_Crits,Opt_Body,Bursts,Body_TtK,Body_Kill,Bursts,Impact,Range,Stability,Handling,Reload_Speed,Aim_Assist,Recoil_Direction,Mag_Size,Type,Ammo
Aggressive,Loud Lullaby (Moon Essence),Kinetic,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,58,25,32,31,60,98,8,Handcannon,Primary
Aggressive,Pribina-D (Gunsmith),Kinetic,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,60,20,25,35,63,80,7,Handcannon,Primary
Aggressive,True Prophecy (World),Kinetic,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,62,30,37,30,62,93,9,Handcannon,Primary
Aggressive,Igneous Hammer (Trials),Solar,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,68,42,43,37,69,95,9,Handcannon,Primary
Aggressive,Bottom Dollar (Gambit),Void,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,64,35,38,32,66,85,8,Handcannon,Primary
Aggressive,The Steady Hand (BL Iron Banner),Kinetic,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,64,32,28,28,65,85,8,Handcannon,Primary
Aggressive,Crimil's Dagger (Iron Banner),Kinetic,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,64,31,31,32,67,98,8,Handcannon,Primary
Aggressive,Duke Mk. 44 (World),Kinetic,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,68,36,37,37,64,90,9,Handcannon,Primary
Aggressive,Thin Line (Tangled Shore),Void,,,120,80,50,1.6,1,3,67%,2,1,,1.5,4,,92,60,17,22,21,60,88,9,Handcannon,Primary
Aggressive Burst,Warden's Law* (Strike),Kinetic,,,120,91,50,1.82,1,3,67%,2,1,,1.5,4,,92,56,29,24,27,68,97,10,Handcannon,Primary
Adaptive,Cantata-57 (World),Arc,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,51,56,57,51,82,85,11,Handcannon,Primary
Adaptive,Crisis Inverted (Crucible),Arc,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,46,55,60,64,83,92,10,Handcannon,Primary
Adaptive,Eyasluna (Grasp of Avarice Dungeon),Stasis,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,56,68,54,50,80,96,11,Handcannon,Primary
Adaptive,Judgment (Prophecy Dungeon),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,50,48,48,46,75,95,9,Handcannon,Primary
Adaptive,Annual Skate (World),Solar,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,46,54,52,44,75,88,10,Handcannon,Primary
Adaptive,Anceint Gospel (GoS Raid),Solar,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,47,62,51,49,74,100,11,Handcannon,Primary
Adaptive,Ten Paces (World),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,46,53,44,46,71,87,10,Handcannon,Primary
Adaptive,Kindled Orchid (BA Forge),Void,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,45,55,46,48,76,99,10,Handcannon,Primary
Adaptive,Nation of Beasts (Last Wish),Arc,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,40,57,42,45,71,95,10,Handcannon,Primary
Adaptive,Fatebringer (Vault of Glass),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,51,61,60,51,84,98,10,Handcannon,Primary
Adaptive,Finite Impactor (Iron Banner),Arc,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,42,51,50,46,74,99,10,Handcannon,Primary
Adaptive,Palindrome (Strikes),Void,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,55,62,55,48,79,98,10,Handcannon,Primary
Adaptive,Austringer (Menagerie),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,51,63,52,51,75,95,11,Handcannon,Primary
Adaptive,Better Devils (Crucible),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,46,48,46,46,75,88,10,Handcannon,Primary
Adaptive,The Old Fashioned (World),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,44,55,51,49,65,95,9,Handcannon,Primary
Adaptive,Rose (Exotic Quest),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,44,46,71,59,85,95,11,Handcannon,Primary
Adaptive,Spare Rations (Reckoning),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,43,54,74,60,83,100,13,Handcannon,Primary
Adaptive,Waking Vigil (Dreaming City),Arc,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,37,43,63,56,82,98,12,Handcannon,Primary
Adaptive,Dire Promise (World),Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,49,53,61,54,83,84,11,Handcannon,Primary
Adaptive,Jack Queen King 3 (Obelisk),Arc,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,48,44,73,63,83,100,13,Handcannon,Primary
Precision,Not Forgotten (Quest),Solar,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,65,62,33,59,79,100,10,Handcannon,Primary
Precision,Luna's Howl (Quest),Solar,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,47,71,42,86,79,95,10,Handcannon,Primary
Precision,Vulpecula (Season of the Lost Ritual),Stasis,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,39,58,36,57,69,97,12,Handcannon,Primary
Precision,Optative (Vex Offensive),Void,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,41,60,33,58,67,97,12,Handcannon,Primary
Precision,Survivor's Epitaph (Crucible Post Game),Kinetic,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,39,60,49,50,74,83,12,Handcannon,Primary
Precision,Frontier's Cry (Iron Banner),Solar,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,48,63,47,52,75,94,13,Handcannon,Primary
Precision,Posterity (DSC Raid),Arc,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,45,64,42,61,79,100,13,Handcannon,Primary
Precision,Seventh Seraph Office Revolver (Seraph Bounty),Kinetic,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,35,57,37,54,68,84,12,Handcannon,Primary
Precision,Trust (Gambit),Solar,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,37,56,35,50,78,96,12,Handcannon,Primary
